,Rank,Movie,Year,Crew,IMDB Ratings,User Reviews
112,113,The Sting,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2,269873
113,114,A Separation,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,249764
114,115,Metropolis,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,178466
115,116,L.A. Confidential,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,593767
116,117,Die Hard,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,902349
117,118,Indiana Jones and the Last Crusade,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,772747
118,119,Snatch,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2,875210
119,120,Taxi Driver,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2,865900
120,121,Bicycle Thieves,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2,167797
121,122,Like Stars on Earth,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.2,198272
122,123,1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.2,622849
123,124,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2,197682
124,125,Downfall,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,362769
125,126,Top Gun: Maverick,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.2,594795
126,127,For a Few Dollars More,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,263145
127,128,Batman Begins,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,1505564
128,129,The Kid,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2,129498
129,130,Some Like It Hot,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,273493
130,131,The Father,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2,169614
131,132,The Wolf of Wall Street,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.2,1466560
132,133,All About Eve,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,134222
133,134,Green Book,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2,520669
134,135,Judgment at Nuremberg,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2,80110 
135,136,Ran,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2,129418
136,137,The Truman Show,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.2,1119310
137,138,Casino,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2,535734
138,139,There Will Be Blood,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.2,603212
139,140,Pan's Labyrinth,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2,681657
140,141,Unforgiven,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,421445
141,142,Shutter Island,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.2,1363879
142,143,The Sixth Sense,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.2,1012218
143,144,Jurassic Park,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.2,1015677
144,145,A Beautiful Mind,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2,951485
145,146,Yojimbo,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.1,126032
146,147,The Treasure of the Sierra Madre,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.1,128079
147,148,Monty Python and the Holy Grail,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.1,552469
148,149,No Country for Old Men,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1,1003240
149,150,Kill Bill: Vol. 1,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,1142339
150,151,The Great Escape,1963,"John Sturges (dir.), Steve McQueen, James Garner",8.1,249786
151,152,Rashomon,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.1,172945
152,153,The Thing,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1,439495
153,154,Finding Nemo,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,1068215
154,155,Spider-Man: No Way Home,2021,"Jon Watts (dir.), Tom Holland, Zendaya",8.1,801079
155,156,The Elephant Man,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1,248231
156,157,Chinatown,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1,335155
157,158,Raging Bull,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.1,363664
158,159,V for Vendetta,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1,1141981
159,160,Gone with the Wind,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1,322790
160,161,Dial M for Murder,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1,180822
161,162,Inside Out,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1,738152
162,163,"Lock, Stock and Two Smoking Barrels",1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.1,595909
163,164,Howl's Moving Castle,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.1,413047
164,165,The Secret in Their Eyes,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.1,214388
165,166,Guardians of the Galaxy Vol. 3,2023,"James Gunn (dir.), Chris Pratt, Chukwudi Iwuji",8.1,166723
166,167,"Three Billboards Outside Ebbing, Missouri",2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1,526947
167,168,Prisoners,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,748234
168,169,Trainspotting,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1,701821
169,170,The Bridge on the River Kwai,1957,"David Lean (dir.), William Holden, Alec Guinness",8.1,225907
170,171,Fargo,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,693532
171,172,Warrior,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1,482295
172,173,Gran Torino,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,790426
173,174,Catch Me If You Can,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1,1023625
174,175,My Neighbor Totoro,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.1,353544
175,176,Million Dollar Baby,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,700665
176,177,Children of Heaven,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.1,76858 
177,178,The Gold Rush,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1,114035
178,179,Blade Runner,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1,789095
179,180,Klaus,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1,166641
180,181,Harry Potter and the Deathly Hallows: Part 2,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.1,902162
